product_id,product_name,stock_level,warehouse_id,supplier_id,restock_date,expiry_date
32331ed4-d9f9-4d52-b330-53cf0759c3ba,Environment,191,WH515,f70e2f7e-a0d8-4363-8b62-5a9ad71b0063,2025-05-11,2027-02-26
38efec64-89b3-4192-86a3-20f83c6997cf,Reality,233,WH331,f1ef1c08-9f8c-49a6-8a68-1f67b2c041f0,2025-05-11,2026-10-19
39d97125-cbfc-4a2d-932b-71601f0a7fb8,Probably,475,WH722,8f9fe6bb-d54c-4f46-b7fe-ce0cecd33587,2025-05-11,2026-08-13
58cd790a-05d8-43cd-a5fa-c6cba361d583,Model,77,WH478,27ef1879-e94a-41fa-ab40-e029e4a9d9f8,2025-05-11,2025-08-19
b28de037-8303-43fb-9788-bba1b1c32a34,For,375,WH475,3fb70bce-3c43-41cc-a1ed-d1889648f0d7,2025-05-11,2026-12-29
00562d7b-af90-4ccd-a71b-b0c428dca403,Recognize,448,WH543,67771ac0-58ad-456a-b019-53350fce8449,2025-05-11,2027-01-03
bf015a5c-88a0-41b0-a0eb-edf5ba8b6236,Dog,69,WH521,1ba5e7ce-dcec-4df3-963e-0a7400fdaf12,2025-05-11,2026-06-30
20a9e2db-fe01-4a0b-bf6d-1a94cc1724e9,Form,9,WH203,51560995-041c-441f-b8a3-8d446af779ce,2025-05-11,2026-05-25
7a6c6a6d-2680-4e0c-bd60-5d3767590211,Because,442,WH925,41361706-4a0f-4802-b37b-2936f181b101,2025-05-11,2025-06-05
2d712657-a4d4-42f7-8c37-e5fd27d977d2,Entire,166,WH567,04deeec4-af49-47c1-b8c3-0326dfe68f01,2025-05-11,2025-09-02
c4caff0b-d32a-4214-97ce-ec92609481a8,Paper,35,WH463,2ff06ad2-af9f-416c-a5c8-7209904f5ccc,2025-05-11,2026-06-17
196fda66-f772-4d91-819e-892acbd27f93,Would,222,WH208,f702255d-a7d3-4a31-a1f0-cce093514e0e,2025-05-11,2027-04-16
9b8a4bcd-17ce-4be7-8581-53217f99bbc9,Also,430,WH979,c7e2769e-ccdf-44bb-a9e4-e8745c1b7b1b,2025-05-11,2026-07-16
6f4087e8-6b1f-4786-91df-9708aff845cb,And,235,WH506,30e8cee2-bbb4-4b5a-ac4f-590a4dd0e600,2025-05-11,2026-01-25
144005a9-09a7-49a9-90a9-c7d0a95c37ae,Hour,133,WH497,3b6596fa-532b-446b-92a9-bb7657050063,2025-05-11,2027-04-27
a38e93ca-f5af-4627-bba0-0e315dedc2e7,Past,104,WH318,9e6e8cda-23f2-43e3-bd38-fbfcdcace572,2025-05-11,2026-02-27
25e494e9-c722-434a-91b7-fd4ca8a940e0,Tend,306,WH989,cb753da2-f293-4531-8e6d-5a1924675675,2025-05-11,2025-07-08
a9b15812-c551-41ce-8267-80666149b80a,Exactly,456,WH130,e05ff97b-0a21-4951-9540-961c9a91db5e,2025-05-11,2025-11-26
34c38fb0-ae57-4256-96f3-bb6af6d4028e,North,498,WH132,2318b6f3-d200-4a0e-bc27-2fe139d53b23,2025-05-11,2026-08-18
